0.001;0.002;0.002;0.003;0.003;0.004;0.005;0.006;0.007;0.009;0.011;0.013;0.016;0.017;0.017;0.016
0.002;0.002;0.003;0.003;0.004;0.005;0.006;0.007;0.008;0.01;0.012;0.015;0.018;0.021;0.02;0.021
0.002;0.003;0.003;0.004;0.004;0.005;0.006;0.007;0.009;0.01;0.013;0.016;0.021;0.025;0.027;0.024
0.002;0.003;0.003;0.004;0.005;0.006;0.007;0.008;0.009;0.011;0.014;0.018;0.024;0.029;0.039;0.031
0.003;0.003;0.004;0.004;0.005;0.006;0.007;0.008;0.01;0.011;0.014;0.019;0.027;0.055;0.091;0.071
0.004;0.004;0.004;0.004;0.005;0.006;0.007;0.008;0.01;0.012;0.014;0.019;0.033;0.077;0.142;0.332
0.004;0.004;0.004;0.004;0.005;0.006;0.007;0.008;0.009;0.012;0.014;0.02;0.034;0.085;0.134;0.32
0.004;0.003;0.004;0.004;0.005;0.006;0.007;0.008;0.01;0.012;0.014;0.02;0.028;0.062;0.095;0.085
0.002;0.003;0.004;0.004;0.005;0.006;0.007;0.008;0.009;0.011;0.014;0.018;0.025;0.035;0.042;0.033
0.002;0.003;0.003;0.004;0.005;0.006;0.007;0.008;0.009;0.011;0.013;0.017;0.021;0.026;0.026;0.022
0.002;0.003;0.003;0.003;0.004;0.005;0.006;0.007;0.009;0.01;0.013;0.016;0.019;0.021;0.02;0.02
0.001;0.002;0.002;0.003;0.004;0.004;0.005;0.007;0.008;0.009;0.012;0.014;0.016;0.018;0.017;0.017
